speaker	task	time_stamp	gram_cat	context_cat	context_start_lg	context_specific	like_duration_ms	closure_presence	closure_duration	burst_presence	burst_duration
BESF_09	C	52.43094816	D	ML	S	S	194.8689021	1	128.8539853	1	11.81475128
BESF_09	C	56.48492248	D	ML	S	S	263.1475375	1	160.2145323	1	5.79530982
BESF_09	C	63.68516251	D	ML	S	S	163.0204414	1	107.1450474	1	9.835695871
BESF_09	C	66.73998144	D	ML	E	E	148.2268452	1	151.9215982	1	5.449981795
BESF_09	C	118.6758133	D	ML	S	S	158.2873707	1	151.3549758	1	11.22144139
BESF_09	C	122.1447097	G	ML	S	S	167.5120314	1	105.675182	1	6.618725314
BESF_09	C	124.2259144	D	CS	S	CS_SE	182.5706413	0	0	0	0
BESF_09	C	139.1322636	D	N	N	N	106.2808375	1	85.08223572	1	9.029590487
BESF_09	C	142.2123664	D	CS	S	CS_SE	201.8199906	1	79.58593252	1	12.71725528
BESF_09	C	157.2188832	D	N	N	N	114.9526695	1	127.236481	1	12.2713506
BESF_09	C	158.5160831	D	ML	S	S	154.7911667	1	87.82503849	1	39.75274809
BESF_09	C	160.0535084	D	ML	S	S	121.4766085	1	69.93066453	1	28.42445247
BESF_09	C	167.8921083	D	ML	E	E	117.7039207	1	74.42253693	1	9.27357071
BESF_09	C	192.7534033	D	ML	S	S	204.0726671	1	91.93296292	1	93.65891298
BESF_09	C	197.7967221	D	N	N	N	108.3542369	1	59.9763497	1	55.40458512
BESF_09	C	199.1783598	D	CS	S	CS_SE	166.2958848	0	0	0	0
BESF_09	C	199.9705572	D	ML	E	E	139.4307852	1	74.14417562	1	8.898750205
BESF_09	C	203.4424632	D	CS	E	CS_ES	153.3131659	1	82.34335918	1	18.42277644
BESF_09	C	211.4241743	D	ML	S	S	149.8201415	1	108.5591297	1	12.948565
BESF_09	C	214.6544786	D	CS	S	CS_SE	118.6265412	0	0	0	0
BESF_09	C	215.2779692	D	CS	E	CS_SEE	169.177577	1	83.54241856	1	73.14498049
BESF_09	C	216.854813	D	ML	E	E	134.1466237	0	0	0	0
BESF_09	C	217.4184588	D	ML	E	E	120.9087147	0	0	0	0
BESF_09	C	219.0858703	DQ	CS	E	CS_ES	125.7042452	1	39.76878612	1	30.4841506
BESF_09	C	228.4684461	D	ML	S	S	213.572344	1	73.90218472	1	7.121932258
BESF_09	C	252.399572	D	ML	E	E	162.9112268	1	119.1714791	1	10.13485296
BESF_09	C	254.2599868	D	ML	E	E	81.12344288	1	54.37136469	1	9.051465153
BESF_09	C	266.5188691	D	ML	E	E	148.1152696	1	85.34769985	1	59.07336057
BESF_09	C	269.1840229	D	ML	E	E	132.8179087	1	100.5116363	1	6.44395532
BESF_09	C	288.0562863	D	ML	E	E	90.01705467	0	0	0	0
BESF_09	C	291.341469	D	ML	E	E	106.1583109	0	0	0	0
BESF_09	C	340.9030687	D	CS	E	CS_SEE	142.7730517	0	0	0	0
BESF_09	C	343.0429125	V	ML	E	E	175.1701699	1	86.70017365	1	22.92694724
BESF_09	C	347.4629019	V	ML	E	E	171.4634695	1	44.76525961	1	6.561161434
BESF_09	C	371.9123083	D	ML	S	S	189.7493646	1	128.338875	1	60.06006509
BESF_09	C	375.3903474	G	ML	E	E	75.52908957	1	32.83648505	1	40.91610852
BESF_09	C	380.0559313	D	ML	E	E	89.92573982	1	40.73206926	1	14.23174097
BESF_09	C	418.5450748	G	ML	E	E	124.7567485	1	41.31588999	1	28.37181951
BESF_09	C	430.8606276	G	CS	E	CS_SEE	159.0390326	1	64.17003256	1	6.62495569
BESF_09	C	467.2083949	D	ML	E	E	138.2209601	1	134.3608689	1	26.23737572
BESF_09	C	473.0843912	D	ML	E	E	198.4568903	1	136.2889399	1	176.6517645
BESF_09	C	475.972179	D	ML	E	E	79.66579133	1	45.42831733	1	10.23935245
BESF_09	C	477.6514877	D	ML	E	E	123.8165912	0	0	0	0
BESF_09	C	480.0768436	D	ML	E	E	211.2475666	1	122.4419129	1	6.450736119
BESF_09	C	484.3975454	D	ML	E	E	119.1039662	1	64.41387827	1	25.49302577
BESF_09	C	535.3274935	D	ML	E	E	229.7140531	1	98.92167999	1	65.62264589
BESF_09	C	536.7487866	D	ML	E	E	129.5749464	1	85.21445053	1	53.39887475
BESF_09	C	538.9781178	D	CS	E	CS_EES	137.306589	1	56.2003347	1	14.15470652
BESF_09	C	541.0013411	D	CS	E	CS_ES	203.2078852	1	51.69000649	1	17.07558045
BESF_09	C	545.4506637	D	ML	E	E	98.61214092	1	35.23371898	1	29.44991708
BESF_09	C	565.34	D	ML	S	S	206.3270996	1	78.44335834	1	10.20002921
BESF_09	C	566.1867781	D	ML	S	S	125.6822966	1	17.78735265	0	0
BESF_09	C	578.9664985	D	ML	S	S	219.4882645	1	105.8640167	1	5.390612134
BESF_09	C	584.9841416	D	ML	S	S	167.2596463	1	89.23563793	1	12.87361773
BESF_09	C	638.3219218	D	ML	S	S	218.6672804	1	110.5630673	1	44.70383885
BESF_09	C	652.1473358	D	ML	S	S	194.6495154	1	79.08935374	1	62.89101333
BESF_09	C	655.2619838	D	ML	S	S	198.0475812	1	65.97406949	1	23.12456269
BESF_09	C	659.7831858	D	ML	S	S	175.6186032	1	47.88545451	1	13.59418076
BESF_09	C	662.4161402	D	CS	E	CS_SEE	148.1364428	1	66.05269736	1	18.26448098
BESF_09	C	670.0845292	D	ML	E	E	183.3153563	1	109.8703004	1	68.59530595
BESF_09	C	671.3245221	D	ML	E	E	170.6995994	1	76.3965533	1	48.10747389
BESF_09	C	676.0623681	D	ML	E	E	244.4276258	1	133.9260926	1	53.33387431
BESF_09	C	677.5084062	D	ML	E	E	208.9585278	1	110.4899203	1	52.14354794
BESF_09	C	679.0115223	D	CS	E	CS_EES	170.5270416	1	137.6870398	0	0
BESF_09	C	679.5845048	D	CS	E	CS_EES	69.43829638	1	37.06771706	1	7.376698262
BESF_09	C	681.3844852	D	CS	E	CS_SEE	135.7691874	1	90.97406449	0	0
BESF_09	C	681.8116062	D	CS	E	CS_SEE	150.0586773	1	50.98061107	1	23.66375476
BESF_09	C	683.7406552	DQ	ML	E	E	128.5357183	1	94.03072109	0	0
BESF_09	C	685.5912412	D	ML	E	E	163.593441	1	49.76261977	0	0
BESF_09	C	686.5365559	DQ	ML	E	E	118.740879	1	55.11039005	1	31.56903524
BESF_09	C	687.8652801	DQ	CS	E	CS_ES	109.2960957	1	102.7231645	0	0
BESF_09	C	689.0589493	DQ	ML	E	E	123.8262836	1	54.46705157	1	4.87102303
BESF_09	C	690.1750472	D	ML	E	E	130.6632929	1	50.10624886	1	7.024021911
BESF_09	C	698.0967701	D	ML	E	E	184.9649518	1	68.77376	1	4.18824029
BESF_09	C	749.705063	D	ML	S	S	176.9639335	1	93.05079734	1	44.75589409
BESF_09	C	752.5676126	D	ML	S	S	178.7332826	1	125.2458669	1	108.8602373
BESF_09	C	757.8801072	D	ML	S	S	140.0635566	1	100.0299109	1	50.1212574
BESF_09	C	763.5583719	D	CS	S	CS_SE	149.1853555	1	80.53102396	1	34.83594988
BESF_09	C	764.9941257	D	CS	E	CS_SEE	190.4788649	1	115.388406	1	95.37154876
BESF_09	C	772.1773292	D	ML	E	E	118.1422867	1	76.26087901	1	9.536207379
BESF_09	C	866.183954	D	N	N	N	100.6146579	1	71.41094364	1	4.1668232
BESF_09	C	871.4880597	D	CS	E	CS_SEES	152.7921552	1	89.28443539	1	5.845560254
BESF_09	D	47.36612436	G	ML	E	E	90.39158522	1	73.83543705	0	0
BESF_09	D	81.55699409	D	CS	S	CS_SE	95.38789263	1	85.73251829	1	8.306149578
BESF_09	D	82.54216209	D	ML	E	E	212.131686	1	125.1950209	1	99.14124397
BESF_09	D	184.1661481	G	CS	S	CS_SE	113.9360812	1	76.45268871	0	0
BESF_09	D	187.387461	D	CS	S	CS_SE	216.4307125	1	59.27489067	1	19.96987266
BESF_09	D	191.3907317	D	N	N	N	238.0627136	1	115.5747279	1	20.14437235
BESF_09	D	195.0546204	D	ML	S	S	250.728997	1	96.13659141	1	54.58967491
BESF_09	D	199.6551549	D	N	N	N	174.8012095	1	136.7994945	1	6.729999495
BESF_09	D	208.9570514	D	ML	E	E	166.3656022	1	152.6656925	1	6.323387695
BESF_09	D	230.3465226	D	ML	S	S	186.7855734	1	78.62066771	1	49.99115361
BESF_09	D	235.2566547	D	ML	E	E	155.9627982	1	37.04218548	1	78.59242152
BESF_09	D	260.8201184	D	ML	E	E	113.9423047	1	76.20448359	1	16.85293586
BESF_09	D	268.7939052	D	ML	E	E	175.5439163	1	109.1116061	1	8.604066576
BESF_09	D	279.1258808	D	ML	E	E	156.0384867	1	93.13014136	0	0
BESF_09	D	280.9672562	D	CS	E	CS_EES	111.0052424	1	86.65469606	1	19.64344797
BESF_09	D	283.2967457	D	CS	S	CS_SE	146.0369183	1	74.81913392	1	56.60472561
BESF_09	D	285.4498777	D	ML	E	E	129.2638216	1	74.50484328	1	17.33359745
BESF_09	D	302.0838265	D	ML	S	S	184.443955	1	87.30725485	1	28.83469979
BESF_09	D	303.2723615	D	CS	S	CS_SE	169.2263025	1	71.3450934	1	18.03548742
BESF_09	D	306.1628051	D	ML	E	E	81.79586028	1	75.88017715	1	14.27987454
BESF_09	D	324.9850424	D	CS	S	CS_SE	185.3345975	1	67.52439339	1	31.34125932
BESF_09	D	325.9745723	D	CS	E	CS_ES	123.9613288	1	61.89799303	0	0
BESF_09	D	337.0085491	D	ML	E	E	167.1999224	1	79.89833608	1	37.20534507
BESF_09	D	346.8025802	D	CS	S	CS_SE	123.9249122	1	59.91986774	0	0
BESF_09	D	354.8566074	D	ML	E	E	172.4382844	1	106.087901	1	19.53306298
BESF_09	D	360.4494973	D	CS	E	CS_SEE	228.0292221	1	81.90727726	1	35.26284117
BESF_09	D	363.2508937	D	CS	E	CS_ES	172.1758081	1	80.81604138	0	0
BESF_09	D	364.0382767	D	CS	S	CS_SE	90.78588411	1	30.19157003	1	24.4071003
BESF_09	D	371.6276575	D	ML	E	E	174.1539067	1	53.97457185	1	29.88730458
BESF_09	D	383.8816393	D	CS	S	CS_SE	257.0317105	1	97.54388093	1	31.05653586
BESF_09	D	386.4868917	D	ML	E	E	225.9270627	1	96.18251691	1	63.11130026
BESF_09	D	398.5695778	D	ML	E	E	129.7014023	1	29.21352914	1	28.92287077
BESF_09	D	401.2760722	D	CS	E	CS_SEE	113.916332	1	82.1192926	1	16.69153861
BESF_09	D	404.5351765	D	ML	E	E	166.1122841	1	124.7036206	0	0
BESF_09	D	405.773331	D	CS	E	CS_ES	139.9587404	1	31.66882094	1	4.885072407
BESF_09	D	410.2041741	D	ML	S	S	246.7657391	1	80.56289737	1	9.690241166
BESF_09	D	413.2810767	G	ML	E	E	143.9247692	1	45.0533616	1	32.84004274
BESF_09	D	415.0843574	D	ML	E	E	201.0661237	1	59.18724651	1	17.75251097
BESF_09	D	415.8240911	G	ML	E	E	153.4808299	1	59.21385863	1	19.18319347
BESF_09	D	419.13824	D	N	N	N	287.3515372	1	54.59216296	1	49.12867835
BESF_09	D	423.6523198	D	ML	E	E	125.2791781	1	59.22556083	1	35.74579126
BESF_09	D	426.7049113	D	ML	S	S	145.6469531	1	79.57755522	1	15.77535893
BESF_09	D	444.0373211	D	ML	S	S	197.8920525	1	96.6404538	1	12.59599995
BESF_09	D	446.1912032	D	CS	E	CS_SEE	174.6384078	1	20.05564262	1	19.99312779
BESF_09	D	449.0078901	G	ML	E	E	101.0406374	1	68.24083617	1	13.39440159
BESF_09	D	449.6643488	D	ML	E	E	122.2631116	1	9.186058972	0	0
BESF_09	D	473.6031615	D	CS	E	CS_ES	150.2035176	1	34.45449736	1	23.42748536
BESF_09	D	484.4082719	D	CS	E	CS_SEE	127.8804374	1	69.92866108	1	36.97863512
BESF_09	D	488.9450617	D	ML	E	E	139.3314961	1	57.68246365	0	0
BESF_09	D	509.690866	D	ML	E	E	137.5931501	1	64.32852781	1	8.647174598
BESF_09	D	525.2475084	D	ML	E	E	120.7014752	1	19.94337806	1	4.309000143
BESF_09	D	534.680321	D	ML	E	E	170.9262853	1	19.33438421	0	0
BESF_09	D	552.3418735	D	CS	S	CS_SE	185.8014165	1	66.76225564	1	6.554806071
BESF_09	D	558.3683194	DQ	ML	E	E	173.1630988	1	35.69288199	1	42.89770587
BESF_09	D	560.1278241	D	ML	E	E	260.6263165	1	139.1266124	1	81.90192159
BESF_09	D	563.1636012	D	ML	E	E	93.52521586	1	48.65961455	1	48.0509158
BESF_09	D	572.2547067	DQ	ML	E	E	105.3865147	1	57.53087418	1	19.95883646
BESF_09	D	573.3022243	D	ML	E	E	111.2725452	1	46.89956443	1	10.97189403
BESF_09	D	579.0462767	DQ	ML	E	E	128.3357722	1	60.00705921	1	10.83792681
BESF_09	D	579.8078748	D	CS	E	CS_EES	229.5801407	1	58.56235888	1	31.32632674
BESF_10	C	29.23990347	D	CS3	CS3	CS3	118.0834114	1	36.38307022	1	19.91959812
BESF_10	C	258.0243108	D	N	N	N	189.292626	1	48.82015452	1	37.91535226
BESF_10	C	259.8131003	D	ML	E	E	127.8102914	1	69.80889187	1	14.56050934
BESF_10	C	260.8139852	D	ML	E	E	83.12749745	1	59.56213152	1	18.00466854
BESF_10	C	264.1166194	D	ML	E	E	197.1360801	1	41.52815414	1	18.06444159
BESF_10	C	275.3924097	V	ML	E	E	104.2941594	1	30.63156205	1	18.33618215
BESF_10	C	276.0181198	D	CS	E	CS_EES	164.1185599	1	64.01101985	1	11.18773337
BESF_10	C	278.415616	D	CS	E	CS_SEE	269.9120084	1	64.58955076	1	25.86667668
BESF_10	C	280.7553856	D	ML	E	E	109.4913237	1	115.239212	1	30.06085027
BESF_10	C	284.7937422	G	ML	E	E	125.3729325	1	59.43740239	1	11.89354298
BESF_10	C	294.1823934	D	ML	S	S	184.2380707	1	85.28038607	0	0
BESF_10	C	695.3696949	G	ML	E	E	129.7460959	1	41.4045793	1	10.40226608
BESF_10	C	779.3917307	D	CS	S	CS_SE	179.0013928	1	45.33679931	1	20.68769573
BESF_10	C	780.3679229	G	CS	E	CS_SEE	118.0890182	1	80.69648103	0	0
BESF_10	C	782.0274553	D	CS	E	CS_SEE	152.226696	1	47.2506002	1	16.75348511
BESF_10	C	785.1916726	D	ML	E	E	366.8231607	1	55.32353325	1	25.0353657
BESF_10	C	786.6329802	DQ	ML	E	E	173.3097133	1	60.48969349	1	13.44434423
BESF_10	C	789.4858971	D	ML	E	E	115.7442957	1	61.03618792	1	22.6786715
