"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"
"duration_ms"	-0.118681879877351	0.105440708369395	0.0499961615186768	-0.0549077563449712	-0.0895173289167585	0.0173097815952648	0.0178237155904999	-0.174947372937396	-0.0158639753082728	-0.304236884666366
"f1_0"	-0.175195639382144	0.167712164328661	-0.0326068142610583	-0.0211534060999818	0.110391445832638	0.203881556056057	-0.315137770018773	0.22252266616385	0.138225988413193	-0.106693404147141
"f1_5"	-0.133639360869228	0.141315166883957	-0.0344541013986778	-0.00514601137317748	0.105662832045317	0.1476243456061	-0.219015100722419	0.172512910725984	0.0973834301623675	-0.0924672369677074
"f1_10"	-0.131562786901447	0.154547196889445	-0.0358991303631576	-0.00445080084753534	0.120064861718558	0.114934699620198	-0.23525263217541	0.158499677006469	0.0678435802296226	-0.0752586876366429
"f1_15"	-0.130890181525665	0.166468993874379	-0.029712164950588	-0.00510853179919648	0.129410482150843	0.0621709179544625	-0.255447410230467	0.114001649396871	-0.00191340530558956	-0.0264802122568204
"f1_20"	-0.132286022251007	0.168085897934596	-0.02700715800123	-0.00338511740542595	0.131415932005018	0.010916584181944	-0.240027634132179	0.060370124992249	-0.0518528270867979	0.0506211639509474
"f1_25"	-0.137494627302775	0.159878419239379	-0.0236536724761	-0.0092809095822555	0.125932248200651	-0.0408614006094366	-0.205069252928349	0.00980957891259277	-0.106079001148559	0.142475936596683
"f1_30"	-0.145412557183079	0.141716228784431	-0.00775815219376818	-0.0353469584371491	0.103905078469197	-0.0514297639207857	-0.173512062436087	-0.030509723271212	-0.135378619075634	0.222334096557512
"f1_35"	-0.177980631683777	0.106505162821763	0.015733422521742	-0.0802757478096962	0.0400161495901468	-0.0374661445657208	-0.114769224827189	-0.0766936554395082	-0.156607986852977	0.257152835409784
"f1_40"	-0.191379036499713	0.0437568768530762	0.0301571415357745	-0.125313547017448	-0.0356201711003812	-0.040314673253969	-0.0282752295789624	-0.107186285349788	-0.146544551978841	0.311597195483248
"f1_45"	-0.181321603298056	0.0191281643011136	0.0173067940460261	-0.108571477624472	-0.086147254326744	-0.0247845266014564	0.0441588562108498	-0.0965361608329717	-0.111710151757881	0.240249088443868
"f1_50"	-0.189628044463759	0.018095722005426	0.00168521038633068	-0.100242388684896	-0.0980784914662326	0.015624016525152	0.0678018638437703	-0.105414384068193	-0.126537230185154	0.199794404973527
"f1_55"	-0.191432678380876	0.0117257354282081	-0.00997121110770422	-0.0870420196090323	-0.111348716397345	0.0424555777582165	0.078454192168174	-0.111542512757482	-0.130428791089683	0.137092459852049
"f1_60"	-0.19199649791342	0.00729132370563541	-0.0225679228496021	-0.0706741333934911	-0.118150570979451	0.0613143420216206	0.0980183418992331	-0.116605872909191	-0.117056972138675	0.0807476409369715
"f1_65"	-0.192396639099966	0.0105282301474607	-0.0308213354776288	-0.051744698061477	-0.117698778050509	0.0662392013830735	0.0936106204854173	-0.11763585372295	-0.0946456809870032	0.022980065682791
"f1_70"	-0.195791567076566	0.0119923811136249	-0.0395396702093343	-0.039413272005552	-0.102739091471593	0.0744858595384188	0.0857250742516836	-0.125246801379693	-0.0762587845085629	-0.0398341293574716
"f1_75"	-0.194806934592052	0.0251617383171434	-0.0493735737683043	-0.0232904230753429	-0.0824945646848644	0.0744304351577621	0.0682832132089953	-0.129502432809778	-0.0450458464580461	-0.10476610933399
"f1_80"	-0.18851298510029	0.034624765779513	-0.0539186348933852	-0.00554136276378445	-0.0638975888689895	0.0739755009334899	0.0573883592647791	-0.122789831381279	-0.0234138036309079	-0.14902594933296
